FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm
0,1,0.082439000000000,-9999,-9999.0000000,-119.678859000000003,35.170645999999998,256029.200000000011642,3895250.000000000000000
1,2,0.094349000000000,-9999,-9999.0000000,-119.678640000000001,35.170650999999999,256049.200000000011642,3895250.000000000000000
2,3,0.074735000000000,-9999,-9999.0000000,-119.679073000000002,35.170461000000003,256009.200000000011642,3895230.000000000000000
3,4,0.102844000000000,787,-9999.0000000,-119.678854000000001,35.170465999999998,256029.200000000011642,3895230.000000000000000
4,5,0.062352000000000,787,-9999.0000000,-119.678634000000002,35.170470000000002,256049.200000000011642,3895230.000000000000000
5,6,0.095055000000000,-9999,9.6760397,-119.678415000000001,35.170475000000003,256069.200000000011642,3895230.000000000000000
6,7,0.123208000000000,784,-9999.0000000,-119.679506000000003,35.170271000000000,255969.200000000011642,3895210.000000000000000
7,8,0.073760000000000,784,-9999.0000000,-119.679286000000005,35.170276000000001,255989.200000000011642,3895210.000000000000000
8,9,0.079016000000000,782,-9999.0000000,-119.679067000000003,35.170281000000003,256009.200000000011642,3895210.000000000000000
9,10,0.120677000000000,782,7.1445799,-119.678848000000002,35.170285000000000,256029.200000000011642,3895210.000000000000000
10,11,0.093891000000000,782,8.3238201,-119.678628000000003,35.170290000000001,256049.200000000011642,3895210.000000000000000
11,12,0.090478000000000,784,9.2298899,-119.678409000000002,35.170295000000003,256069.200000000011642,3895210.000000000000000
12,13,0.173956000000000,-9999,8.5889301,-119.678189000000003,35.170299999999997,256089.200000000011642,3895210.000000000000000
13,14,0.097154000000000,784,-9999.0000000,-119.679719000000006,35.170085999999998,255949.200000000011642,3895190.000000000000000
14,15,0.136356000000000,783,-9999.0000000,-119.679500000000004,35.170090999999999,255969.200000000011642,3895190.000000000000000
15,16,0.111440000000000,783,4.4334102,-119.679280000000006,35.170096000000001,255989.200000000011642,3895190.000000000000000
16,17,0.099076000000000,780,4.5482702,-119.679061000000004,35.170099999999998,256009.200000000011642,3895190.000000000000000
17,18,0.141793000000000,779,4.2891502,-119.678842000000003,35.170105000000000,256029.200000000011642,3895190.000000000000000
18,19,0.128195000000000,779,5.6437101,-119.678622000000004,35.170110000000001,256049.200000000011642,3895190.000000000000000
19,20,0.192343000000000,780,6.7255301,-119.678403000000003,35.170115000000003,256069.200000000011642,3895190.000000000000000
