FID,pointid,shrub_cov,cell_id,Slope,Elev,x_wgs,y_wgs,x_utm,y_utm
0,1,0.039138000000000,0,6.4579501,720,-119.632126000000000,35.128115999999999,260161.501546000014059,3890420.000000000000000
1,2,0.021928000000000,1,6.8552599,720,-119.632120000000000,35.127935999999998,260161.501546000014059,3890400.000000000000000
2,3,0.014746000000000,2,6.0545001,722,-119.631900999999999,35.127940000000002,260181.501546000014059,3890400.000000000000000
3,4,0.025014000000000,3,6.5548201,723,-119.631681999999998,35.127944999999997,260201.501546000014059,3890400.000000000000000
4,5,0.043296000000000,4,5.5760102,716,-119.632334000000000,35.127751000000004,260141.501546000014059,3890380.000000000000000
5,6,0.029738000000000,5,7.5689402,718,-119.632114000000001,35.127755999999998,260161.501546000014059,3890380.000000000000000
6,7,0.023305000000000,6,7.4857101,719,-119.631895000000000,35.127760000000002,260181.501546000014059,3890380.000000000000000
7,8,0.019565000000000,7,7.2646298,720,-119.631675999999999,35.127764999999997,260201.501546000014059,3890380.000000000000000
8,9,0.011476000000000,8,6.4187899,720,-119.631456999999997,35.127769999999998,260221.501546000014059,3890380.000000000000000
9,10,0.028010000000000,9,5.0006399,720,-119.631236999999999,35.127775000000000,260241.501546000014059,3890380.000000000000000
10,11,0.026108000000000,10,6.3793702,714,-119.632328000000001,35.127571000000003,260141.501546000014059,3890360.000000000000000
11,12,0.035312000000000,11,7.1250200,716,-119.632109000000000,35.127575000000000,260161.501546000014059,3890360.000000000000000
12,13,0.024768000000000,12,6.3793702,717,-119.631889000000001,35.127580000000002,260181.501546000014059,3890360.000000000000000
13,14,0.015371000000000,13,5.6437101,718,-119.631670000000000,35.127585000000003,260201.501546000014059,3890360.000000000000000
14,15,0.008290000000000,14,4.7666001,718,-119.631450999999998,35.127589999999998,260221.501546000014059,3890360.000000000000000
15,16,0.009964000000000,15,4.0760598,719,-119.631231999999997,35.127594000000002,260241.501546000014059,3890360.000000000000000
16,17,0.004264000000000,16,3.2392700,719,-119.631011999999998,35.127598999999996,260261.501546000014059,3890360.000000000000000
17,18,0.026240000000000,17,4.3480902,712,-119.632541000000003,35.127386000000001,260121.501546000014059,3890340.000000000000000
18,19,0.017546000000000,18,4.5482702,712,-119.632322000000002,35.127389999999998,260141.501546000014059,3890340.000000000000000
19,20,0.021709000000000,19,5.1506500,714,-119.632103000000001,35.127395000000000,260161.501546000014059,3890340.000000000000000
20,21,0.017210000000000,20,4.0760598,715,-119.631883999999999,35.127400000000002,260181.501546000014059,3890340.000000000000000
21,22,0.010053000000000,21,4.3187199,716,-119.631664000000001,35.127405000000003,260201.501546000014059,3890340.000000000000000
22,23,0.003920000000000,22,4.5202298,717,-119.631444999999999,35.127409999999998,260221.501546000014059,3890340.000000000000000
23,24,0.002402000000000,23,4.3187199,717,-119.631225999999998,35.127414000000002,260241.501546000014059,3890340.000000000000000
24,25,0.001949000000000,24,3.3932500,718,-119.631005999999999,35.127419000000003,260261.501546000014059,3890340.000000000000000
25,26,0.009134000000000,25,3.2392700,718,-119.630786999999998,35.127423999999998,260281.501546000014059,3890340.000000000000000
26,27,0.024904000000000,26,3.8510301,718,-119.630567999999997,35.127428999999999,260301.501546000014059,3890340.000000000000000
27,28,0.042429000000000,27,4.0760598,710,-119.632755000000003,35.127200999999999,260101.501546000014059,3890320.000000000000000
28,29,0.067833000000000,28,3.5763299,711,-119.632536000000002,35.127206000000001,260121.501546000014059,3890320.000000000000000
29,30,0.035497000000000,29,4.3187199,712,-119.632316000000003,35.127209999999998,260141.501546000014059,3890320.000000000000000
30,31,0.013902000000000,30,4.5202298,714,-119.632097000000002,35.127215000000000,260161.501546000014059,3890320.000000000000000
31,32,0.016134000000000,31,2.5805399,715,-119.631878000000000,35.127220000000001,260181.501546000014059,3890320.000000000000000
32,33,0.014930000000000,32,2.0871301,715,-119.631658000000002,35.127225000000003,260201.501546000014059,3890320.000000000000000
33,34,0.006792000000000,33,2.5805399,715,-119.631439000000000,35.127229000000000,260221.501546000014059,3890320.000000000000000
34,35,0.003722000000000,34,3.0775199,716,-119.631219999999999,35.127234000000001,260241.501546000014059,3890320.000000000000000
35,36,0.002101000000000,35,2.0248699,717,-119.631000999999998,35.127239000000003,260261.501546000014059,3890320.000000000000000
36,37,0.013546000000000,36,1.4321001,717,-119.630780999999999,35.127243999999997,260281.501546000014059,3890320.000000000000000
37,38,0.021436000000000,37,2.0871301,717,-119.630561999999998,35.127248000000002,260301.501546000014059,3890320.000000000000000
38,39,0.068596000000000,38,3.0775199,718,-119.630342999999996,35.127253000000003,260321.501546000014059,3890320.000000000000000
39,40,0.096171000000000,39,3.0775199,718,-119.630123999999995,35.127257999999998,260341.501546000014059,3890320.000000000000000
40,41,0.048685000000000,40,4.3187199,709,-119.632749000000004,35.127020999999999,260101.501546000014059,3890300.000000000000000
41,42,0.053433000000000,41,4.5482702,710,-119.632530000000003,35.127025000000003,260121.501546000014059,3890300.000000000000000
42,43,0.027719000000000,42,5.2723298,711,-119.632311000000001,35.127029999999998,260141.501546000014059,3890300.000000000000000
43,44,0.010538000000000,43,4.9751902,713,-119.632091000000003,35.127034999999999,260161.501546000014059,3890300.000000000000000
44,45,0.010789000000000,44,2.5805399,714,-119.631872000000001,35.127040000000001,260181.501546000014059,3890300.000000000000000
45,46,0.009675000000000,45,1.5189300,715,-119.631653000000000,35.127043999999998,260201.501546000014059,3890300.000000000000000
46,47,0.004728000000000,46,1.6010500,715,-119.631433000000001,35.127049000000000,260221.501546000014059,3890300.000000000000000
47,48,0.006809000000000,47,2.7251401,716,-119.631214000000000,35.127054000000001,260241.501546000014059,3890300.000000000000000
48,49,0.016255000000000,48,2.0871301,717,-119.630994999999999,35.127059000000003,260261.501546000014059,3890300.000000000000000
49,50,0.012819000000000,49,0.7161600,717,-119.630775999999997,35.127063999999997,260281.501546000014059,3890300.000000000000000
50,51,0.005989000000000,50,1.4321001,717,-119.630555999999999,35.127068000000001,260301.501546000014059,3890300.000000000000000
51,52,0.045654000000000,51,2.5304899,717,-119.630336999999997,35.127073000000003,260321.501546000014059,3890300.000000000000000
52,53,0.047684000000000,52,3.2392700,718,-119.630117999999996,35.127077999999997,260341.501546000014059,3890300.000000000000000
53,54,0.040757000000000,53,7.0004802,719,-119.629897999999997,35.127082999999999,260361.501546000014059,3890300.000000000000000
54,55,0.022419000000000,54,4.5202298,707,-119.632963000000004,35.126835999999997,260081.501546000014059,3890280.000000000000000
55,56,0.038078000000000,55,4.6587400,707,-119.632743000000005,35.126840000000001,260101.501546000014059,3890280.000000000000000
56,57,0.033713000000000,56,5.1506500,709,-119.632524000000004,35.126845000000003,260121.501546000014059,3890280.000000000000000
57,58,0.028243000000000,57,5.8851299,710,-119.632305000000002,35.126849999999997,260141.501546000014059,3890280.000000000000000
58,59,0.017124000000000,58,5.3676400,713,-119.632085000000004,35.126854999999999,260161.501546000014059,3890280.000000000000000
59,60,0.004986000000000,59,1.8253300,714,-119.631866000000002,35.126860000000001,260181.501546000014059,3890280.000000000000000
60,61,0.010622000000000,60,1.5189300,714,-119.631647000000001,35.126863999999998,260201.501546000014059,3890280.000000000000000
61,62,0.020392000000000,61,2.0248699,715,-119.631428000000000,35.126868999999999,260221.501546000014059,3890280.000000000000000
62,63,0.029920000000000,62,2.5304899,715,-119.631208000000001,35.126874000000001,260241.501546000014059,3890280.000000000000000
63,64,0.018438000000000,63,3.0357201,716,-119.630989000000000,35.126879000000002,260261.501546000014059,3890280.000000000000000
64,65,0.005262000000000,64,1.8253300,717,-119.630769999999998,35.126882999999999,260281.501546000014059,3890280.000000000000000
65,66,0.000731000000000,65,1.6010500,716,-119.630549999999999,35.126888000000001,260301.501546000014059,3890280.000000000000000
66,67,0.027619000000000,66,2.7251401,716,-119.630330999999998,35.126893000000003,260321.501546000014059,3890280.000000000000000
67,68,0.039426000000000,67,5.3676400,718,-119.630111999999997,35.126897999999997,260341.501546000014059,3890280.000000000000000
68,69,0.017328000000000,68,8.3686199,720,-119.629892999999996,35.126902000000001,260361.501546000014059,3890280.000000000000000
69,70,0.016714000000000,69,10.4216003,724,-119.629672999999997,35.126907000000003,260381.501546000014059,3890280.000000000000000
70,71,0.017037000000000,70,8.6466703,728,-119.629453999999996,35.126911999999997,260401.501546000014059,3890280.000000000000000
71,72,0.020195000000000,71,2.0248699,705,-119.633176000000006,35.126651000000003,260061.501546000014059,3890260.000000000000000
72,73,0.016288000000000,72,2.0248699,706,-119.632957000000005,35.126655999999997,260081.501546000014059,3890260.000000000000000
73,74,0.017309000000000,73,3.0775199,706,-119.632737000000006,35.126660000000001,260101.501546000014059,3890260.000000000000000
74,75,0.017014000000000,74,5.6437101,708,-119.632518000000005,35.126665000000003,260121.501546000014059,3890260.000000000000000
75,76,0.040854000000000,75,6.8552599,710,-119.632299000000003,35.126669999999997,260141.501546000014059,3890260.000000000000000
76,77,0.031697000000000,76,5.1996698,713,-119.632080000000002,35.126674999999999,260161.501546000014059,3890260.000000000000000
77,78,0.005944000000000,77,2.5805399,714,-119.631860000000003,35.126679000000003,260181.501546000014059,3890260.000000000000000
78,79,0.020053000000000,78,2.2636399,714,-119.631641000000002,35.126683999999997,260201.501546000014059,3890260.000000000000000
79,80,0.035660000000000,79,2.7251401,714,-119.631422000000001,35.126688999999999,260221.501546000014059,3890260.000000000000000
80,81,0.035125000000000,80,3.1996000,715,-119.631202999999999,35.126694000000001,260241.501546000014059,3890260.000000000000000
81,82,0.010706000000000,81,3.5763299,715,-119.630983000000001,35.126697999999998,260261.501546000014059,3890260.000000000000000
82,83,0.001240000000000,82,2.7251401,716,-119.630763999999999,35.126702999999999,260281.501546000014059,3890260.000000000000000
83,84,0.015871000000000,83,1.4321001,716,-119.630544999999998,35.126708000000001,260301.501546000014059,3890260.000000000000000
84,85,0.039325000000000,84,3.2392700,716,-119.630324999999999,35.126713000000002,260321.501546000014059,3890260.000000000000000
85,86,0.040323000000000,85,6.4187899,718,-119.630105999999998,35.126716999999999,260341.501546000014059,3890260.000000000000000
86,87,0.012090000000000,86,7.8609600,721,-119.629886999999997,35.126722000000001,260361.501546000014059,3890260.000000000000000
87,88,0.013246000000000,87,8.9848804,724,-119.629667999999995,35.126727000000002,260381.501546000014059,3890260.000000000000000
88,89,0.022478000000000,88,9.3762503,727,-119.629447999999996,35.126731999999997,260401.501546000014059,3890260.000000000000000
89,90,0.025773000000000,89,8.1878500,730,-119.629228999999995,35.126736999999999,260421.501546000014059,3890260.000000000000000
90,91,0.024055000000000,90,1.8253300,705,-119.633170000000007,35.126471000000002,260061.501546000014059,3890240.000000000000000
91,92,0.018971000000000,91,1.4321001,706,-119.632951000000006,35.126474999999999,260081.501546000014059,3890240.000000000000000
92,93,0.008705000000000,92,1.8253300,706,-119.632732000000004,35.126480000000001,260101.501546000014059,3890240.000000000000000
93,94,0.002580000000000,93,5.1996698,707,-119.632512000000006,35.126485000000002,260121.501546000014059,3890240.000000000000000
94,95,0.019113000000000,94,7.0184102,710,-119.632293000000004,35.126489999999997,260141.501546000014059,3890240.000000000000000
95,96,0.014934000000000,95,5.5532498,712,-119.632074000000003,35.126494000000001,260161.501546000014059,3890240.000000000000000
96,97,0.008720000000000,96,4.5202298,712,-119.631855000000002,35.126499000000003,260181.501546000014059,3890240.000000000000000
97,98,0.016344000000000,97,4.0760598,713,-119.631635000000003,35.126503999999997,260201.501546000014059,3890240.000000000000000
98,99,0.015786000000000,98,3.6469700,713,-119.631416000000002,35.126508999999999,260221.501546000014059,3890240.000000000000000
99,100,0.022968000000000,99,3.8510301,713,-119.631197000000000,35.126514000000000,260241.501546000014059,3890240.000000000000000
100,101,0.011929000000000,100,4.1687398,714,-119.630977000000001,35.126517999999997,260261.501546000014059,3890240.000000000000000
101,102,0.016014000000000,101,3.8510301,715,-119.630758000000000,35.126522999999999,260281.501546000014059,3890240.000000000000000
102,103,0.031830000000000,102,3.0775199,715,-119.630538999999999,35.126528000000000,260301.501546000014059,3890240.000000000000000
103,104,0.031729000000000,103,4.0760598,716,-119.630319999999998,35.126533000000002,260321.501546000014059,3890240.000000000000000
104,105,0.048270000000000,104,5.6437101,718,-119.630099999999999,35.126536999999999,260341.501546000014059,3890240.000000000000000
105,106,0.030704000000000,105,7.2126002,720,-119.629880999999997,35.126542000000001,260361.501546000014059,3890240.000000000000000
106,107,0.018111000000000,106,8.5599003,722,-119.629661999999996,35.126547000000002,260381.501546000014059,3890240.000000000000000
107,108,0.030860000000000,107,10.0373001,724,-119.629441999999997,35.126551999999997,260401.501546000014059,3890240.000000000000000
108,109,0.038580000000000,108,10.0249996,727,-119.629222999999996,35.126556000000001,260421.501546000014059,3890240.000000000000000
109,110,0.042258000000000,109,9.5461302,729,-119.629003999999995,35.126561000000002,260441.501546000014059,3890240.000000000000000
110,111,0.029361000000000,110,9.5461302,732,-119.628784999999993,35.126565999999997,260461.501546000014059,3890240.000000000000000
111,112,0.032021000000000,111,2.7251401,704,-119.633384000000007,35.126286000000000,260041.501546000014059,3890220.000000000000000
112,113,0.029036000000000,112,3.0775199,705,-119.633163999999994,35.126289999999997,260061.501546000014059,3890220.000000000000000
113,114,0.036258000000000,113,2.0871301,706,-119.632945000000007,35.126294999999999,260081.501546000014059,3890220.000000000000000
114,115,0.038094000000000,114,1.8253300,706,-119.632726000000005,35.126300000000001,260101.501546000014059,3890220.000000000000000
115,116,0.015790000000000,115,3.3932500,707,-119.632507000000004,35.126305000000002,260121.501546000014059,3890220.000000000000000
116,117,0.002449000000000,116,5.5760102,708,-119.632287000000005,35.126309999999997,260141.501546000014059,3890220.000000000000000
117,118,0.001119000000000,117,6.1373801,710,-119.632068000000004,35.126314000000001,260161.501546000014059,3890220.000000000000000
118,119,0.003307000000000,118,4.9751902,711,-119.631849000000003,35.126319000000002,260181.501546000014059,3890220.000000000000000
